game 406 : Score 0 : 29480, score 1 : 13730
game 407 : Score 0 : 29480, score 1 : 13830
game 408 : Score 0 : 29570, score 1 : 13830
game 409 : Score 0 : 29660, score 1 : 13830
game 410 : Score 0 : 29660, score 1 : 13990
game 411 : Score 0 : 29820, score 1 : 13990
game 412 : Score 0 : 29820, score 1 : 14080
game 413 : Score 0 : 29820, score 1 : 14170
game 414 : Score 0 : 29820, score 1 : 14250
game 415 : Score 0 : 29820, score 1 : 14410
game 416 : Score 0 : 29910, score 1 : 14410
game 417 : Score 0 : 30010, score 1 : 14410
game 418 : Score 0 : 30090, score 1 : 14410
game 419 : Score 0 : 30090, score 1 : 14570
game 420 : Score 0 : 30250, score 1 : 14570
game 421 : Score 0 : 30330, score 1 : 14570
game 422 : Score 0 : 30330, score 1 : 14670
game 423 : Score 0 : 30330, score 1 : 14760
game 424 : Score 0 : 30420, score 1 : 14760
game 425 : Score 0 : 30510, score 1 : 14760
game 426 : Score 0 : 30600, score 1 : 14760
game 427 : Score 0 : 30690, score 1 : 14760
game 428 : Score 0 : 30790, score 1 : 14760
game 429 : Score 0 : 30950, score 1 : 14760
game 430 : Score 0 : 31110, score 1 : 14760
game 431 : Score 0 : 31200, score 1 : 14760
game 432 : Score 0 : 31200, score 1 : 14850
game 433 : Score 0 : 31290, score 1 : 14850
game 434 : Score 0 : 31290, score 1 : 15010
game 435 : Score 0 : 31370, score 1 : 15010
game 436 : Score 0 : 31450, score 1 : 15010
game 437 : Score 0 : 31610, score 1 : 15010
game 438 : Score 0 : 31700, score 1 : 15010
game 439 : Score 0 : 31780, score 1 : 15010
game 440 : Score 0 : 31780, score 1 : 15170
game 441 : Score 0 : 31780, score 1 : 15330
game 442 : Score 0 : 31870, score 1 : 15330
game 443 : Score 0 : 32030, score 1 : 15330
game 444 : Score 0 : 32120, score 1 : 15330
game 445 : Score 0 : 32120, score 1 : 15490
game 446 : Score 0 : 32120, score 1 : 15650
game 447 : Score 0 : 32120, score 1 : 15740
game 448 : Score 0 : 32210, score 1 : 15740
game 449 : Score 0 : 32300, score 1 : 15740
game 450 : Score 0 : 32380, score 1 : 15740
game 451 : Score 0 : 32460, score 1 : 15740
game 452 : Score 0 : 32550, score 1 : 15740
game 453 : Score 0 : 32550, score 1 : 15820
game 454 : Score 0 : 32640, score 1 : 15820
game 455 : Score 0 : 32720, score 1 : 15820
game 456 : Score 0 : 32810, score 1 : 15820
game 457 : Score 0 : 32970, score 1 : 15820
game 458 : Score 0 : 32970, score 1 : 15920
game 459 : Score 0 : 33060, score 1 : 15920
game 460 : Score 0 : 33060, score 1 : 16020
game 461 : Score 0 : 33060, score 1 : 16180
game 462 : Score 0 : 33060, score 1 : 16260
game 463 : Score 0 : 33060, score 1 : 16340
game 464 : Score 0 : 33150, score 1 : 16340
game 465 : Score 0 : 33150, score 1 : 16420
game 466 : Score 0 : 33150, score 1 : 16580
game 467 : Score 0 : 33150, score 1 : 16670
game 468 : Score 0 : 33230, score 1 : 16670
game 469 : Score 0 : 33320, score 1 : 16670
game 470 : Score 0 : 33400, score 1 : 16670
game 471 : Score 0 : 33480, score 1 : 16670
game 472 : Score 0 : 33570, score 1 : 16670
game 473 : Score 0 : 33570, score 1 : 16830
game 474 : Score 0 : 33650, score 1 : 16830
game 475 : Score 0 : 33730, score 1 : 16830
game 476 : Score 0 : 33810, score 1 : 16830
game 477 : Score 0 : 33900, score 1 : 16830
game 478 : Score 0 : 34060, score 1 : 16830
game 479 : Score 0 : 34060, score 1 : 16920
game 480 : Score 0 : 34150, score 1 : 16920
game 481 : Score 0 : 34240, score 1 : 16920
game 482 : Score 0 : 34240, score 1 : 17000
game 483 : Score 0 : 34400, score 1 : 17000
game 484 : Score 0 : 34490, score 1 : 17000
game 485 : Score 0 : 34570, score 1 : 17000
game 486 : Score 0 : 34570, score 1 : 17090
